Facility Name,Facility ID,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
MI General Hospital #1,230001,MI,READM-30-AMI-HRRP,181,1.0231,16.6694,16.293,30,07/01/2021,06/30/2024
MI General Hospital #1,230001,MI,READM-30-HF-HRRP,537,Not Available,Not Available,18.4709,Not Available,07/01/2021,06/30/2024
MI General Hospital #1,230001,MI,READM-30-PN-HRRP,410,1.0151,18.201,17.9303,75,07/01/2021,06/30/2024
MI General Hospital #1,230001,MI,READM-30-COPD-HRRP,491,0.9993,18.2391,18.2519,90,07/01/2021,06/30/2024
MI General Hospital #1,230001,MI,READM-30-HIP-KNEE-HRRP,250,1.0089,4.9755,4.9316,12,07/01/2021,06/30/2024
MI General Hospital #2,230014,MI,READM-30-AMI-HRRP,279,1.1082,15.7554,14.2171,44,07/01/2021,06/30/2024
MI General Hospital #2,230014,MI,READM-30-HF-HRRP,391,1.0448,19.1398,18.3191,75,07/01/2021,06/30/2024
MI General Hospital #2,230014,MI,READM-30-PN-HRRP,290,1.0451,17.9321,17.1583,52,07/01/2021,06/30/2024
MI General Hospital #2,230014,MI,READM-30-COPD-HRRP,207,0.9728,20.2863,20.8535,42,07/01/2021,06/30/2024
MI General Hospital #2,230014,MI,READM-30-HIP-KNEE-HRRP,327,0.9623,5.1341,5.3352,17,07/01/2021,06/30/2024
MI General Hospital #3,230027,MI,READM-30-AMI-HRRP,415,1.0844,13.2503,12.219,55,07/01/2021,06/30/2024
MI General Hospital #3,230027,MI,READM-30-HF-HRRP,276,Not Available,Not Available,21.4152,Not Available,07/01/2021,06/30/2024
MI General Hospital #3,230027,MI,READM-30-PN-HRRP,569,0.9937,15.5306,15.6291,88,07/01/2021,06/30/2024
MI General Hospital #3,230027,MI,READM-30-COPD-HRRP,410,0.9674,17.7497,18.3478,73,07/01/2021,06/30/2024
MI General Hospital #3,230027,MI,READM-30-HIP-KNEE-HRRP,338,0.9643,4.2691,4.4271,14,07/01/2021,06/30/2024
MI General Hospital #4,230040,MI,READM-30-AMI-HRRP,216,1.0301,15.8111,15.3491,34,07/01/2021,06/30/2024
MI General Hospital #4,230040,MI,READM-30-HF-HRRP,612,1.0517,23.307,22.1613,143,07/01/2021,06/30/2024
MI General Hospital #4,230040,MI,READM-30-PN-HRRP,374,1.0193,16.245,15.9374,61,07/01/2021,06/30/2024
MI General Hospital #4,230040,MI,READM-30-COPD-HRRP,464,1.0349,17.2816,16.6988,80,07/01/2021,06/30/2024
MI General Hospital #4,230040,MI,READM-30-HIP-KNEE-HRRP,186,1.0039,3.0339,3.0221,6,07/01/2021,06/30/2024
MI General Hospital #5,230053,MI,READM-30-AMI-HRRP,428,1.1612,18.0286,15.5258,77,07/01/2021,06/30/2024
MI General Hospital #5,230053,MI,READM-30-HF-HRRP,543,1.1478,23.2941,20.2946,126,07/01/2021,06/30/2024
MI General Hospital #5,230053,MI,READM-30-PN-HRRP,402,1.1203,16.3258,14.5727,66,07/01/2021,06/30/2024
MI General Hospital #5,230053,MI,READM-30-COPD-HRRP,349,1.1097,20.3691,18.3555,71,07/01/2021,06/30/2024
MI General Hospital #5,230053,MI,READM-30-HIP-KNEE-HRRP,356,1.121,5.4976,4.9042,20,07/01/2021,06/30/2024
TX General Hospital #1,230066,TX,READM-30-AMI-HRRP,347,1.0865,16.0759,14.796,56,07/01/2021,06/30/2024
TX General Hospital #1,230066,TX,READM-30-HF-HRRP,546,1.0161,20.5086,20.1836,112,07/01/2021,06/30/2024
TX General Hospital #1,230066,TX,READM-30-PN-HRRP,321,1.0443,16.7533,16.0426,54,07/01/2021,06/30/2024
TX General Hospital #1,230066,TX,READM-30-COPD-HRRP,497,Not Available,Not Available,16.2915,Not Available,07/01/2021,06/30/2024
TX General Hospital #1,230066,TX,READM-30-HIP-KNEE-HRRP,356,0.9949,3.861,3.8808,14,07/01/2021,06/30/2024
TX General Hospital #2,230079,TX,READM-30-AMI-HRRP,302,1.046,16.6518,15.9195,50,07/01/2021,06/30/2024
TX General Hospital #2,230079,TX,READM-30-HF-HRRP,486,1.055,21.1337,20.0319,103,07/01/2021,06/30/2024
TX General Hospital #2,230079,TX,READM-30-PN-HRRP,367,0.9835,13.8807,14.1136,51,07/01/2021,06/30/2024
TX General Hospital #2,230079,TX,READM-30-COPD-HRRP,434,0.9847,19.3117,19.6118,84,07/01/2021,06/30/2024
TX General Hospital #2,230079,TX,READM-30-HIP-KNEE-HRRP,309,0.9465,4.2622,4.5031,13,07/01/2021,06/30/2024
TX General Hospital #3,230092,TX,READM-30-AMI-HRRP,311,1.0823,16.7557,15.4816,52,07/01/2021,06/30/2024
TX General Hospital #3,230092,TX,READM-30-HF-HRRP,412,1.0261,20.0167,19.5076,82,07/01/2021,06/30/2024
TX General Hospital #3,230092,TX,READM-30-PN-HRRP,378,1.0068,15.9166,15.8091,60,07/01/2021,06/30/2024
TX General Hospital #3,230092,TX,READM-30-COPD-HRRP,485,0.9471,19.7087,20.8095,96,07/01/2021,06/30/2024
TX General Hospital #3,230092,TX,READM-30-HIP-KNEE-HRRP,126,0.99,5.0481,5.0991,6,07/01/2021,06/30/2024
TX General Hospital #4,230105,TX,READM-30-AMI-HRRP,310,1.1151,17.7232,15.8938,55,07/01/2021,06/30/2024
TX General Hospital #4,230105,TX,READM-30-HF-HRRP,308,1.0595,21.4515,20.2468,66,07/01/2021,06/30/2024
TX General Hospital #4,230105,TX,READM-30-PN-HRRP,494,0.972,17.9946,18.513,89,07/01/2021,06/30/2024
